"date","close","volume","open","high","low"
"16:00","5.92","6,804,100","6.24","6.28","5.80"
"2020/03/30","5.9200","6829116.0000","6.2700","6.2800","5.8000"
"2020/03/27","6.3200","6789440.0000","6.0000","6.5000","5.6700"
"2020/03/26","6.1900","6482615.0000","6.2200","6.6900","6.0900"
"2020/03/25","6.1300","8211733.0000","6.1100","6.5300","5.5300"
"2020/03/24","5.9100","6408231.0000","5.7700","6.1100","5.5145"
"2020/03/23","5.2700","6352344.0000","5.6500","5.7900","5.2000"
"2020/03/20","5.6900","9401726.0000","5.4600","6.0800","5.3000"
"2020/03/19","5.1000","13503790.0000","4.4700","5.3100","4.0900"
"2020/03/18","4.5700","12225920.0000","5.3300","5.5600","4.3500"
"2020/03/17","5.7100","14704190.0000","6.3100","6.4600","5.4400"
"2020/03/16","6.1800","9061180.0000","6.4300","7.1200","6.0500"
"2020/03/13","7.2100","8777251.0000","6.9700","7.3300","6.2000"
"2020/03/12","6.3900","9002941.0000","6.6200","6.6882","6.1900"
"2020/03/11","7.1600","9047954.0000","7.5100","7.6000","7.1200"
"2020/03/10","7.6950","8870346.0000","8.0600","8.1199","7.1600"
"2020/03/09","7.6100","7826287.0000","8.2100","8.3100","7.5700"
"2020/03/06","8.7000","7503471.0000","8.7000","9.3000","8.5200"
"2020/03/05","8.9400","5462822.0000","9.0400","9.1000","8.7800"
"2020/03/04","9.3900","5263868.0000","9.1800","9.4350","8.9800"
"2020/03/03","8.9800","8280380.0000","9.5200","9.6200","8.9200"
"2020/03/02","9.4900","6370463.0000","9.8000","9.8100","9.3200"
"2020/02/28","9.6850","9154969.0000","9.6600","9.9400","9.5136"
"2020/02/27","9.9100","6652464.0000","9.8600","10.2500","9.5100"
"2020/02/26","10.0200","6857426.0000","10.3300","10.4500","10.0100"
"2020/02/25","10.1150","6539098.0000","10.6800","10.7400","10.0500"
"2020/02/24","10.6700","8684280.0000","10.6100","10.9600","10.2250"
"2020/02/21","10.8450","4834960.0000","11.2100","11.2400","10.8300"
"2020/02/20","11.2700","4059054.0000","11.4300","11.5650","11.2550"
"2020/02/19","11.4500","4456585.0000","11.3700","11.5300","11.3400"
"2020/02/18","11.3750","5556292.0000","11.1200","11.4400","11.1000"
"2020/02/14","11.1000","6101024.0000","11.5700","11.6100","11.0400"
"2020/02/13","11.5900","5165884.0000","11.7200","11.9300","11.5500"
"2020/02/12","11.8500","7742501.0000","11.6900","12.1300","11.5100"
"2020/02/11","11.5600","23006390.0000","12.5000","12.5200","11.1100"
"2020/02/10","13.1900","3665171.0000","13.4200","13.4900","13.1300"
"2020/02/07","13.4300","3226405.0000","13.3000","13.5200","13.1500"
"2020/02/06","13.3700","3234190.0000","13.9800","14.0000","13.3500"
"2020/02/05","13.8900","5460717.0000","13.5900","13.9350","13.5900"
"2020/02/04","13.4500","3482372.0000","13.9300","13.9400","13.3800"
"2020/02/03","13.3000","4003476.0000","13.2500","13.5000","13.1750"
"2020/01/31","13.1300","5651250.0000","13.3300","13.3700","13.0200"
"2020/01/30","13.5450","3966243.0000","13.6700","13.6800","13.2500"
"2020/01/29","13.8000","2888501.0000","13.9000","14.1300","13.6800"
"2020/01/28","13.8000","2121133.0000","13.9300","14.0499","13.7900"
"2020/01/27","13.7500","2778023.0000","13.8600","13.9700","13.5970"
"2020/01/24","14.2000","3354705.0000","14.5700","14.5700","13.8200"
"2020/01/23","14.6400","2026728.0000","14.3700","14.6700","14.0400"
"2020/01/22","14.4400","3098588.0000","14.7600","14.7600","14.3900"
"2020/01/21","14.6100","2189249.0000","14.9800","14.9800","14.5150"
"2020/01/17","14.9300","2623587.0000","15.1000","15.1300","14.8700"
"2020/01/16","15.0400","2819192.0000","14.7300","15.2500","14.6500"
"2020/01/15","14.6200","3103477.0000","14.9000","14.9500","14.5600"
"2020/01/14","15.0000","2234431.0000","14.9800","15.0500","14.7500"
"2020/01/13","14.9400","2262696.0000","14.5100","14.9400","14.3600"
"2020/01/10","14.4700","2600101.0000","14.7600","14.8250","14.4100"
"2020/01/09","14.6900","2484762.0000","14.9600","14.9850","14.5200"
"2020/01/08","14.9900","2123798.0000","15.0100","15.1000","14.8400"
"2020/01/07","15.0600","1996129.0000","14.9500","15.1400","14.9100"
"2020/01/06","14.9500","3387678.0000","14.6800","15.0300","14.5800"
"2020/01/03","14.7400","4170763.0000","15.1300","15.1300","14.6700"
"2020/01/02","15.3800","1827706.0000","15.6900","15.6900","15.2550"
"2019/12/31","15.5550","2647374.0000","15.2200","15.6700","15.2145"
"2019/12/30","15.2300","4220603.0000","15.4700","15.6100","15.2000"
"2019/12/27","15.1000","1564251.0000","15.1000","15.2800","15.0800"
"2019/12/26","15.0700","1755762.0000","15.0400","15.0900","14.8500"
"2019/12/24","15.0200","1012176.0000","15.0900","15.2000","14.9900"
"2019/12/23","15.0500","3021473.0000","15.2900","15.3054","15.0100"
"2019/12/20","15.1700","6780158.0000","15.7100","15.7500","15.1000"
"2019/12/19","15.6800","6578963.0000","16.1800","16.2500","15.5900"
"2019/12/18","16.1250","3242790.0000","16.6000","16.6000","16.0900"
"2019/12/17","16.6000","4023614.0000","16.1200","16.6300","16.0750"
"2019/12/16","16.0700","2356176.0000","16.0500","16.4550","16.0200"
"2019/12/13","16.0100","3117477.0000","16.4400","16.6000","15.8700"
"2019/12/12","16.4950","2511058.0000","16.1300","16.5600","16.0400"
"2019/12/11","16.0600","2151205.0000","16.2500","16.3300","15.9500"
"2019/12/10","16.1300","1888204.0000","16.1300","16.2600","15.9000"
"2019/12/09","16.0850","1872734.0000","16.1100","16.2100","16.0100"
"2019/12/06","16.1100","2006462.0000","16.0800","16.5000","16.0600"
"2019/12/05","15.8900","1522532.0000","15.7800","15.9000","15.6650"
"2019/12/04","15.6900","2345761.0000","15.7300","15.9200","15.6600"
"2019/12/03","15.6200","1845356.0000","15.8200","15.8270","15.3750"
"2019/12/02","16.0000","2009749.0000","16.0400","16.2580","15.8100"
"2019/11/29","15.9900","1044617.0000","16.1600","16.2502","15.9400"
